supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],Heze Elegance Fashion,1,1,978 Jinan,Road,[blank],Heze,China,Clothing,775,82%,18%,1%,Yes,"Main Production
Site",Qingdao
[blank],"E Garment Cambodia
Factory",1,1,"Svay Rolom
Commune",[blank],[blank],Saang District,Cambodia,Clothing,2744,93%,7%,1%,Yes,"Main Production
Site",[blank]
[blank],Helicon Ltd,1,1,Plot # 127,"Dhaka EPZ (Old
Area)Ganakbari",Savar,Dhaka,Bangladesh,Clothing,798,49%,51%,0%,Yes,"Main Production
Site",[blank]
[blank],"Kanberogullari
Konfeksiyon San Ve Tic Ltd",1,1,"Cihangir
Mah,Ambarli Dolum",TesisleriYoluSehi tKomandoCavus,"Murat Altintas sk, 15 Avcilar",Istanbul,Turkey,Clothing,79,56%,44%,1%,Yes,Main Production Site,[blank]
"AKH FASHIONS LTD USD FOB
A0324",AKH FASHIONS LTD,1,1,"133-134
Hemayetpur",Savar,[blank],Dhaka,Bangladesh,Clothing,1183,65%,35%,0%,Yes,Main Production Site,[blank]
[blank],Mahdeen Sweaters Ltd.,1,1,Jamirdia,Valuka,[blank],"Mymenshing
h",Bangladesh,Clothing,2009,37%,63%,0%,Yes,"Main Production
Site",[blank]
AKH KNITTING & DYEING LTD(A0238),AKH Knitting & Dyeing Ltd.,1,1,92,Phulbaria,"Tetuljhora, Savar",Dhaka,Bangladesh,Clothing,6990,35%,65%,0%,Yes,Main Production Site,[blank]
[blank],Apex Textile Printing Mills,1,1,Chandora,"Post
ShafipurThana","Kailakoir
District",Gazipur,Bangladesh,Clothing,5396,56%,44%,0%,Yes,"Main Production
Site",[blank]
[blank],Erenko Textiles,1,1,"ERGENE 1 OSB
MISINLI MAH.","SANAYI CAD.
NO:51",[blank],Tekirdag,Turkey,Clothing,106,74%,26%,0%,No,"Main Production
Site",[blank]
"Epic Designs
Ltd FOB USD","Cosmopolitan Industries
PVT Ltd.",1,1,Khejurbagan,"Baro
AshuliaAshulia",[blank],Dhaka,Bangladesh,Clothing,4804,58%,42%,0%,Yes,"Main Production
Site",[blank]
"Echotex Ltd
(USD FOB)",Echotex Ltd,1,1,"Chandra Palli
Biddut",Kaliakoir,[blank],Gazipur,Bangladesh,Clothing,12257,34%,66%,0%,Yes,"Main Production
Site",[blank]
[blank],"Shuyang Dingfeng
Footwear Co., Ltd.",1,1,"Zhangji
Industrial",Zone,[blank],Shuyan,China,Clothing,47,77%,23%,4%,Yes,"Main Production
Site",Qingdao
