sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
J.R.EXPORTS PVT LTD,[blank],[blank],ALIPUR ROAD,KOHAND,KARNAL,India,General Merchandise,Main production Site,95%,5%,Yes,117
Big Bazar Corporation,[blank],[blank],"No. 18, Alley 7, Lane 195,Yung Fung Road, Tu Cheng Dist.New Taipei City, Taiwan GM Main production Site",[blank],[blank],Taiwan,General Merchandise,Main production Site,16%,84%,No,25
Kanodia Global Pvt Ltd.,[blank],[blank],"Pasina Khurd Road, Siwah,Panipat-132103, Haryana PANIPAT",[blank],[blank],India,General Merchandise,Main production Site,76%,24%,Yes,483
"Dongguan Shangpin Furniture Co.,ltd",24.78480924,119.150322,"No. 149 Southern 2nd street,Qiao Dong Road, Qiao Tou TownDongguan China",[blank],[blank],China,General Merchandise,Main production Site,61%,39%,Yes,83
"Shun Tai Present Co., Ltd",25.34637521,119.2157789,"Da Lu Group Shun Ju Village,Qiu Chang Town,",[blank],"Hui Yang City, China",China,General Merchandise,Main production Site,56%,44%,Yes,98
Festa Party Products Mfy (Zhaoqing) Ltd East From 16,24.81496069,117.9139464,[blank],Tangmei Industrial Zone Zone 6Zhaoqing City China,[blank],China,General Merchandise,Main production Site,28%,72%,Yes,50
Ltd.,25.4910764,119.0879883,"No. 312 LongQuan Road,QuanTang Region, Liao Bu TownDong Guan City China",[blank],[blank],China,General Merchandise,Main production Site,83%,17%,Yes,36
Hong Fa Handicraft (Huizhou) Co. Ltd.,24.88408815,118.6634597,"Laowu Area , Chanjing Village,Xinxu Town, Huiyang District China China",[blank],[blank],China,General Merchandise,Main production Site,53%,47%,Yes,45
Lichfield,[blank],[blank],Riva Paoletti ltd,T A Evans Lichfield,Lichfield,United Kingdom,General Merchandise,Main production Site,23%,77%,No,44
Sengled Optoelectronics Co Ltd,24.83731373,118.908042,Minhe Economic Zone,Wuzhen Town,Tongxiang,China,General Merchandise,Main production Site,43%,57%,Yes,1097
CO LTD,[blank],[blank],"Ngoc Dong IZ,","Hoang Dong commune,",Ha Nam Province Vietnam,Vietnam,General Merchandise,Main production Site,28%,72%,Yes,43
"JIANGSU JUNXIA GYM EQUIPMENT CO., LTD",24.7700121,117.9767908,"BINHU AVENUE, PAOCHE DEVELOPMENTECONOMIC",[blank],"ZONE, PIZHOU XuZhouCITY, China GM",China,General Merchandise,Main production Site,43%,57%,Yes,601
"Cixi Wanlong Electrical Co., Ltd",24.71197352,117.6024548,No. 658,Kaifa East Road,Cixi,China,General Merchandise,Main production Site,46%,54%,Yes,96
LTD.,24.57728761,118.1688796,"No. 895, Yunda Road,","Industrial Park, Yunlong, Ningbo",[blank],China,General Merchandise,Main production Site,54%,46%,Yes,93
"Dongguan Chuangzhi Plastic Metal Co., Ltd. No. 10 Xinhui Road Shangjin Village Xinan",25.13430952,119.3641391,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Cat Dang Factory,[blank],[blank],"68C DUONG CONG KHI, XUANHoc MOn THOI",[blank],HO CHI MINH CITYVietnam,Vietnam,General Merchandise,Main production Site,57%,43%,Yes,96
EASTCO ENTERPRISE (ZHONGSHAN) LIMITED,25.24634806,118.3897159,No. 1 Jun Mei Road,ShenWan Town,Zhong Shan City China,China,General Merchandise,Main production Site,39%,61%,Yes,240
"Trident Limited (Home Textile Division) Trident Limited Dhaula ComplexMansa Road, Barnala Punjab Barnala India",[blank],[blank],[blank],[blank],[blank],India,General Merchandise,Main production Site,79%,21%,Yes,3543
Himatsingka Linens,[blank],[blank],Plot No1 KIADB IndustrialHanumanthapura Area,[blank],"Post, HassanHassan Go India GM",India,General Merchandise,Main production Site,70%,30%,Yes,6803
Wua Han Toys Products (Heyuan) Ltd.,25.21493438,118.1675682,"North 20m To Heyuan RoadGaotang West, Industrial Park, Heyuan",[blank],[blank],China,General Merchandise,Main production Site,69%,31%,Yes,401
"Dongguan Borui Plastic Technology Co., Ltd. Rm 302, No.382, Liao EastLiaobu Road Town",25.50133959,118.0452709,[blank],[blank],Dongguan,China,General Merchandise,Main production Site,68%,32%,Yes,25
"Jiande Dihua Decoration Co., Ltd.",24.56217848,118.7127881,"#237 Yanling Road,ChengnanIndustrial Function Area Hangzhou",[blank],[blank],China,General Merchandise,Main production Site,53%,47%,No,148
BRITA GmbH Bad Camberg,[blank],[blank],BRITA GmbH,Robert-Bosch-Str. 10,65520 Bad CambergGermany GM,Germany,General Merchandise,Main production Site,76%,24%,Yes,957
LTD,25.23029861,118.1633687,No 18 Hua Hong street Suzhou Industrial Park Suzhou Suzhou,[blank],[blank],China,General Merchandise,Main production Site,56%,44%,Yes,691
FOSHAN RAYMONS CLOCK & WATCH CO LTD,24.04209001,118.9537905,The third part of LiMeiYi xilian sanjia development zoneFoshan China,[blank],[blank],China,General Merchandise,Main production Site,35%,65%,Yes,17
Ltd,24.65441596,118.5231019,"5/F, LongXiang Industrial YifaPark 3 Road Pingtan Town Hui Zhou City China GM",[blank],[blank],China,General Merchandise,Main production Site,58%,42%,Yes,60
JIAXING MODS TRAVEL GOODS CO LTD (NEW),24.44488952,118.0166305,"No.1288 ZIYU ROAD,DAQIAONANHU TOWN, AREA,JIAIXNG . Bdg1 Jiaxing China",[blank],[blank],China,General Merchandise,Main production Site,56%,44%,Yes,84
XIANHE MANUFACTURING COMPANY LTD,24.81800122,117.7086563,"Room102, Building 2,","No.372, Qiaotou Wenming road,Dongguan City China",[blank],China,General Merchandise,Main production Site,42%,58%,Yes,38
"Technology Co.,Ltd",24.63768148,118.2429372,"Floor 1-5, No.2 Building Huidebao Industrial Park Shenzhen",[blank],[blank],China,General Merchandise,Main production Site,62%,38%,Yes,129
"Hoang Phat Co., Ltd.",[blank],[blank],"Lot B16, Phu Tai IP",Tran Quang Dieu Ward,Qui Nhon,Vietnam,General Merchandise,Main production Site,37%,63%,Yes,259
"MACHINERY CO., LTD",24.26494838,117.9924952,"No.35 Aigehao Rd., XiangchengDistrict, Suzhou, China Suzhou",[blank],[blank],China,General Merchandise,Main production Site,52%,48%,Yes,44
"Ningbo Huige Outdoor Products Co.,Ltd",25.51480924,118.1027838,"No.333 Tianhai Road,",Binhai New Area,Ningbo,China,General Merchandise,Main production Site,68%,32%,Yes,526
LTD,24.54346652,119.4356309,"NO.2 Shencun Industrial ZoneBeisha, Lishui Town, Nanhai DistrictFoshan China GM",[blank],[blank],China,General Merchandise,Main production Site,53%,47%,Yes,163
LIMITED,24.66201415,119.3580254,"Block 2, No.13, Lefeng FourthRoad, Maohui Industrial Park, Zhongshan China GM",[blank],[blank],China,General Merchandise,Main production Site,48%,52%,Yes,50
Zhejiang Bounsun Plastic Co Ltd,25.24923302,118.1119258,"NO.9, HUAQIAN ROAD, PINGQIAOTOWN, TIANTAI, ZHEJIANG, CHINATIANTAI China",[blank],[blank],China,General Merchandise,Main production Site,45%,55%,Yes,91
"ANKANG COMATE TECHNOLOGY CO.,LTD",24.7582578,118.8322031,"The Northwest electronicinformation Park,North end of Industrial Zones China GM",[blank],[blank],China,General Merchandise,Main production Site,41%,59%,Yes,101
"Ningbo First Outdoor Goods Co.,Ltd",24.4706808,119.0442954,"No.15 Lixin Road, Xiaogang,Dutoudong Industry Park NINGBO",[blank],[blank],China,General Merchandise,Main production Site,30%,70%,Yes,67
"CO.,LTD",24.30068947,119.213805,"XiaZhuangLu New Village,TongyuStreet,Luqiao District,Taizhou Taizhou City China GM Main production Site",[blank],[blank],China,General Merchandise,Main production Site,59%,41%,Yes,88
Homestar furniture Corporation,24.17796968,118.1534048,"Homestar Industrial CampusTongyuan Avenue, Shangang areaFuzhou China",[blank],[blank],China,General Merchandise,Main production Site,54%,46%,Yes,237
"ANJI LONGWIN FURNITURE CO.,LTD",25.16807548,118.2123428,"No.3257 Yunhong WestRoad,Tangpu Industry Zone",[blank],Anji,China,General Merchandise,Main production Site,53%,47%,Yes,422
"Youwei daily necessities(Heyuan) Co Ltd No 2 , Yongsheng Rd,",24.8551762,118.6734347,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes",Dongguan,[blank],China,General Merchandise,Main production Site,26.00%,74.00%,Yes,96
"CIXI XINLUN ELECTRICAL APPLIANCE CO.,LTD NO.373 XINXIN ROAD, XINPUZHEJIANG,CHINA TOWN",24.5613406,117.6941824,[blank],[blank],Ningbo,China,General Merchandise,Main production Site,67%,33%,Yes,94
"Laiwu Lemei Handicraft Co., Ltd",24.90042729,117.6556198,South of No. 2 Miaoshan MiaoshanVillage,[blank],JINAN,China,General Merchandise,Main production Site,38%,63%,Yes,96
"TAIZHOU SUNUP TECH. CO., LTD.",25.26052817,118.9022853,"5# Hengxing Road, Beiyang,Huangyan,",[blank],"Taizhou City,",China,General Merchandise,Main production Site,48%,52%,Yes,82
KP1,[blank],[blank],ESKISEHIR YOLU 8 KM,MERKEZ,KUTAHYA,Turkey,General Merchandise,Main production Site,61%,39%,Yes,533
Co. LTD,25.09770611,118.983765,"N0, 289 Renmin Road",Maji Town,Nanjing City,China,General Merchandise,Main production Site,17%,83%,Yes,452
YANGZHOU KANGLONG GLASS,25.08558463,117.8514533,Santuan Village,Anyi,Yangzhou City,China,General Merchandise,Main production Site,17%,83%,Yes,58
"Zhangzhou Yifeng Time Co., Ltd.",24.10268023,118.3475775,NO.24 HUIMING ROAD,COMMUNITY JINFENG INDUSTRIALZHANGZHOU CITYChina,[blank],China,General Merchandise,Main production Site,38%,62%,Yes,13
"CHANGZHOU BOER PLASTIC CO.,LTD",25.03145357,117.6117695,"No.65 Longyi Road,",Wujin High Tech Industrial Changzhou,[blank],China,General Merchandise,Main production Site,51%,49%,Yes,99
LIMITED,24.89019164,118.464268,"Jingsheng Road,","Jingzhi Town, Anqiu",weifang,China,General Merchandise,Main production Site,22%,78%,Yes,46
Kingwell Toys (Guangdong) Company Limited The South Of Dongguan Shijie(Xingning) Industry Area Xingning China,24.61529471,119.18195,[blank],[blank],[blank],China,General Merchandise,Main production Site,21%,79%,Yes,89
FABRYKA MEBLI MEBLOSIEK SP. Z O.O.,[blank],[blank],KOLONIA OSIEK,"98-405 GALEWICE,",GALEWICE,Poland,General Merchandise,Main production Site,60%,40%,No,244
"Co.,Ltd.",24.95763708,119.0226669,"Jiutan North DevelopmentYuanzhou Area,",[blank],[blank],China,General Merchandise,Main production Site,57%,43%,Yes,150
"TULIP HOME TEXTILE CO., LTD",24.53607761,118.3917032,"99 Huashihu Road,","Yangchenghu Town, Suzhou,ChinSuzhou",[blank],China,General Merchandise,Main production Site,41%,59%,Yes,482
Yingfu (Jiangxi) Intelligence Electric,25.46895579,119.0654104,"Blocks #4#5#6, Area EF, AnyuanCounty Industrial New Zone Ganzhou China",[blank],[blank],China,General Merchandise,Main production Site,67%,33%,Yes,78
"ZHEJIANG FLY CUP CO.,LTD",24.28941378,118.5720344,No. 98 Xita 3rd Road,No.1198 Songshi West,[blank],China,General Merchandise,Main production Site,52%,48%,Yes,366
FuKang Group,25.11689061,118.0803222,"Xicheng Road Longgang Town,Demonstration Industry Park Wenzhou China",[blank],[blank],China,General Merchandise,Main production Site,51%,49%,Yes,162
"Co., Ltd.",24.44180881,117.7309698,"Jiutan North DevelopmentYuanzhou Area,",[blank],[blank],China,General Merchandise,Main production Site,57%,43%,Yes,150
"PRODUCTS CO., LTD",24.97860612,117.7366228,North of Mashanzhuang VillageCaocheng Street,[blank],Heze,China,General Merchandise,Main production Site,47%,53%,Yes,30
"Xin Seng San Handicraft (Hui Zhou) Co.,Ltd. Minrong High-tech IndustrialPark, Huidong Avenue, Daling Huizhou City, China GM Main production Site",24.36202845,117.8234203,[blank],[blank],[blank],China,General Merchandise,Main production Site,68%,33%,Yes,40
Jiangmen Honetian Technology Co Ltd,25.55358842,118.3831381,"No.71, Xinle Third Road Lile",[blank],Jiangmen,China,General Merchandise,Main production Site,47%,53%,Yes,189
TECHNOLOGY LIMITED,24.8883845,118.5679466,"1 Shixing-Tangxia Joint Development Industrial Park, Shao Guan China",[blank],[blank],China,General Merchandise,Main production Site,29%,71%,Yes,195
Quanzhou Fengze Yisheng Leather Co Ltd,24.88531118,118.6077253,"No.3 B, South of Xunmei Chengdong",[blank],Quanzhou,China,General Merchandise,Main production Site,41%,59%,Yes,64
Radiaant Expovision Pvt. Ltd.,[blank],[blank],A-70,"Sector-64, Gautam Budha NagarNoida",[blank],India,General Merchandise,Main production Site,79%,21%,Yes,951
Limited Company,[blank],[blank],"No.21, Tianshui Village Caobu Town, Rudong County Nantong",[blank],[blank],China,General Merchandise,Main production Site,58%,42%,Yes,36
"Shanghai Worth Industrial Co.,Ltd.",[blank],[blank],"No. 2399, Shengang Road,Songjiang District Shanghai, Shanghai",[blank],[blank],China,General Merchandise,Main production Site,57%,43%,Yes,82
Ltd,[blank],[blank],"Third of No.1,8th TechnologyRoad,Xingtan Industrial Park, Foshan China",[blank],[blank],China,General Merchandise,Main production Site,51%,49%,Yes,182
Indo Count Industries Ltd Bhilad,[blank],[blank],191 192,Mahala Falia Village Bhilad,Dist Valsad Bhilad,India,General Merchandise,Main production Site,81%,19%,Yes,1975
Melrose Interiors Ltd,[blank],[blank],"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
"SHANGHAI BANJIN INDUSTRIAL CO.,LTD",[blank],[blank],No 2558 HuHang Road,"Fengxian District ,shanghai shanghai",[blank],China,General Merchandise,Main production Site,44%,56%,Yes,108
Primacy Industries Limited,[blank],[blank],"PLOT 314-315 , GIDC , MITHI ROHAR TALUK",[blank],KUTCH,India,General Merchandise,Main production Site,24%,76%,Yes,428
"WUXI RONGXIN PACKAGING XISHAN CO.,LTD",[blank],[blank],"31st, Furong Western 4thXiShan RD,",[blank],Economic DevelopmentWUXI,China,General Merchandise,Main production Site,35%,65%,Yes,54
"CO.,LTD",[blank],[blank],"No.2 Lijin Road, Xialang Qiaofeng Industrial District Dongguan China",[blank],[blank],China,General Merchandise,Main production Site,52%,48%,Yes,52
"CRAFTS MANUFACTURE CO.,LTD",[blank],[blank],No.9 Wenxing Road,Cultural & Tourism Products I Jinhua City China,[blank],China,General Merchandise,Main production Site,37%,63%,Yes,160
Ltd.,[blank],[blank],43# Kengwei Road,Tianxin IndustrialZoneShang WuShenzhen,[blank],China,General Merchandise,Main production Site,70%,30%,Yes,50
Dong Guan Fragrance Company Ltd.,[blank],[blank],The 5th Zhifu Road,Mowu District,Dongguan,China,General Merchandise,Main production Site,31%,69%,Yes,42
"Dongguan D d Plastic Co., Ltd.",[blank],[blank],First Industrial District Caibai Village,[blank],Dongguan,China,General Merchandise,Main production Site,50%,50%,Yes,155
"Xiamen Lv Yue Outdoor Equipment Co., Ltd NO.12-16 TIANYANG ROADJIMEI NOTRTH INDUSTRIAL ZONEXiamen",[blank],[blank],[blank],[blank],[blank],China,General Merchandise,Main production Site,41%,59%,Yes,274
Ltd.,[blank],[blank],31# South 5 Street,"Qiaodong Road, Wuxia",Dongguan,China,General Merchandise,Main production Site,45%,55%,Yes,133
Duni Poland S.p.z.o.o,[blank],[blank],Ul.,Syrenia 4,Poznan,Poland,General Merchandise,Main production Site,41%,59%,No,357
"HUEI TYNG ENTERPRISE CO., LTD",[blank],[blank],[blank],30 KUNG YEH ROADFANG YUAN,CHANGHUA COUNTYTaiwan,Taiwan,General Merchandise,Main production Site,57%,43%,No,72
"Eastern Chinaware Co., Ltd.",[blank],[blank],108 Moo 5 Romlkao RoadLardkrabang,[blank],Bangkok,Thailand,General Merchandise,Main production Site,25%,75%,Yes,299
"Fujian Eagle Cultural & Creative Co Ltd No.12, Shuangyue Road Shuangyue Industrial Zone Fuding",[blank],[blank],[blank],[blank],[blank],China,General Merchandise,Main production Site,47%,53%,Yes,520
Enfix Metal Inc,[blank],[blank],Kuiqing Rd,Jinqiao Industrial ZoneQingxi Dongguan,[blank],China,General Merchandise,Main production Site,56%,44%,Yes,278
Anhui Xiazhen Down & Feather Co Ltd,[blank],[blank],988Tongan,Road,Tongcheng City China,China,General Merchandise,Main production Site,12%,88%,Yes,145
Faze Three Ltd. - Dadra,[blank],[blank],356/1 & 2,village Dadra,Dadra,India,General Merchandise,Main production Site,76%,24%,Yes,926
"FuKang Group Co., Ltd(Amscan)",[blank],[blank],Xi Cheng Road,Model Industry Zone,Wenzhou,China,General Merchandise,Main production Site,51%,49%,Yes,162
Fleming International Ltd.,[blank],[blank],"Lot 103/2, Factory No.16 Street 5, Amata Industrial Park Vietnam, Vietnam GM",[blank],[blank],Vietnam,General Merchandise,Main production Site,44%,56%,Yes,1515
Limited,[blank],[blank],"No.1, 8th Technology RoadXingtan Industrial Park Foshan",[blank],[blank],China,General Merchandise,Main production Site,51%,49%,Yes,182
Faze Three Ltd. - Dapada,[blank],[blank],380/1,Khanvel Silvassa Road,Dapada,India,General Merchandise,Main production Site,70%,30%,Yes,488
Faze Three Ltd - Panipat,[blank],[blank],Jatal Road,Anand NagarNear Old Canal Panipat,[blank],India,General Merchandise,Main production Site,98%,2%,Yes,400
Ltd,[blank],[blank],Maxin Industrial Zone Xingpu Road,[blank],Zhongshan,China,General Merchandise,Main production Site,70%,30%,Yes,902
Guandaxing Incorporated Co.,[blank],[blank],Guandaxing Industrial ParkWuli Industry Zone,[blank],Jinjiang,China,General Merchandise,Main production Site,60%,40%,Yes,277
Guangzhou Jiawang Paper Product Co Ltd,[blank],[blank],"301, No.1 North Side of theGasStationQiaoxingGuangzhuRoadGuangzhou China GM",[blank],[blank],China,General Merchandise,Main production Site,33%,67%,Yes,30
"Glory Moon Paper Products Co., Ltd.",[blank],[blank],Ying Dong Industrial ZoneDong Hua Town,[blank],Ying De City,China,General Merchandise,Main production Site,36%,64%,Yes,1067
Gul Ahmed Textile Mills Ltd,[blank],[blank],Plot # 368,369 Main National Highway Karachi,[blank],Pakistan,General Merchandise,Main production Site,82%,18%,Yes,2847
Hape International (Ningbo) Ltd,[blank],[blank],9-27 Nanhai Road,Dagang Industrial City,Beilun City,China,General Merchandise,Main production Site,38%,62%,Yes,742
Guangdong Sunrise Houseware Corp Ltd.,[blank],[blank],Jinsha Qiao Jin Road,Xin An Industries,Foshan,China,General Merchandise,Main production Site,61%,39%,Yes,296
THUMBS UP LTD.,[blank],[blank],"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Ltd,[blank],[blank],Li Hu Town,Pu Ning City,Guangdong,China,General Merchandise,Main production Site,18%,82%,Yes,38
"JEWELRY CO., LTD",[blank],[blank],Xihua Village,Songxia Town,Shaoxing,China,General Merchandise,Main production Site,11%,89%,No,37
HUAI AN THC PLASTIC COMPANY (Tar Hong),[blank],[blank],"NO.9 HONGSHENG ROAD,ECONOMIC&TECHNOLOGICAL HUAIAN",[blank],HuaianZONE,China,General Merchandise,Main production Site,60%,40%,Yes,244
"Huizhou D&S Cable Co., Ltd. (DNS)",[blank],[blank],Dong Jiang Industrial ZoneLongjin,[blank],Huizhou,China,General Merchandise,Main production Site,51%,49%,Yes,728
"Hunan Xianfeng Ceramic Industry Co., Ltd Gujialing",[blank],[blank],[blank],Wangxian TownLiling County Zhuzhou City,[blank],China,General Merchandise,Main production Site,22%,78%,Yes,1118
Huizhou Gift International Greetings Ltd. Fuda Industrial Zone Futian TownBoluo County,[blank],[blank],[blank],[blank],Huizhou,China,General Merchandise,Main production Site,60%,40%,Yes,365
International Greetings UK Ltd,[blank],[blank],Penallta Industrial Est. Ystrad Mynach,[blank],Hengoed,United Kingdom,General Merchandise,Main production Site,79%,21%,Yes,199
John Cotton,[blank],[blank],NUNBROOK Mills,Huddersfield Road,MIRFIELD,United Kingdom,General Merchandise,Main production Site,61%,39%,Yes,253
Ltd,[blank],[blank],"No.9, Jinwei East Road Wangniudun Town",[blank],Dongguan,China,General Merchandise,Main production Site,37%,63%,Yes,321
"Guangdong Jinlong Industrial Co., Ltd",[blank],[blank],"No.105, Zhenxing AvenuePengjiang District",[blank],Jiangmen,China,General Merchandise,Main production Site,53%,47%,Yes,468
Shenzhen Junlan Electronic Ltd,[blank],[blank],"1-5 fl, #277 and 1+5 fl, #279Pingkui Rd, Shijing Community Shenzhen China GM",[blank],[blank],China,General Merchandise,Main production Site,53%,47%,Yes,294
JVS Export Unit 2,[blank],[blank],Madurai integrated textileparkthathampati village T.vadipatti,[blank],[blank],India,General Merchandise,Main production Site,25%,75%,Yes,798
Kaiping City Zhantu Plastic Products Co. Ltd Kaizhuang AdministrationShagang District,[blank],[blank],[blank],[blank],Kaiping City,China,General Merchandise,Main production Site,34%,66%,Yes,74
Ltd,[blank],[blank],No. 8 Road,Yudong Industrial ZoneYangdongYangjiang,[blank],China,General Merchandise,Main production Site,49%,51%,Yes,49
"Dongguan Lengjer Metal & Plastic Co., Ltd No.2 XIANFEN RD.",[blank],[blank],[blank],"188 Industrial Area,Ping-Shan Dongguan",[blank],China,General Merchandise,Main production Site,46%,54%,Yes,106
"Ningbo Lisi Houseware Co., Ltd.",[blank],[blank],No.518 Chengxin Road,Yinzhou Investment & BusinessNingbo,[blank],China,General Merchandise,Main production Site,45%,55%,Yes,227
(Amscan Asia),[blank],[blank],No.1 Niusheng Road,KengzhiPingshan New District Shenzhen,[blank],China,General Merchandise,Main production Site,33%,67%,Yes,367
Leedarson Lighting Co Ltd Branch 1,[blank],[blank],Xingda Road,Xingtai Industrial Zone,Zhangzhou,China,General Merchandise,Main production Site,42%,58%,Yes,540
"Lock Kee Plastic Mfg Co., Ltd.",[blank],[blank],"1st Building, ShangSheng ChangRoad No.24 An Town Dongguan",[blank],[blank],China,General Merchandise,Main production Site,37%,63%,Yes,79
"Ningbo Syloon Stationery Co., Ltd",[blank],[blank],2 Zhenxing Rd & 29 HuapuQijiashan Rd,Street,Ningbo,China,General Merchandise,Main production Site,29%,71%,Yes,448
"Guilin Zhanji Home Products Co., Ltd.",[blank],[blank],Jinjiping Industrial Park Lipu County,[blank],Guilin,China,General Merchandise,Main production Site,26%,74%,Yes,84
Guangdong Woodsun Housewares Co Ltd,[blank],[blank],Dawang Industrial Park Heshan TownYandong County Yangjiang,[blank],[blank],China,General Merchandise,Main production Site,57%,43%,Yes,175
Meadowland Giftcraft Factory,[blank],[blank],Economic Development ZoneIndustrial Park 2Tang-Keng Mei-Zhou City China,[blank],[blank],China,General Merchandise,Main production Site,61%,39%,Yes,46
Zhongshan Meitu Industry Ltd.,[blank],[blank],No.6 Industrial Area,Nanlang TownNanlang Town,Zhongshan,China,General Merchandise,Main production Site,50%,50%,Yes,458
CO LTD,[blank],[blank],"28th, East District, Hesui IndustrialDongfeng",[blank],"Park,Town Zhongshan City China GM",China,General Merchandise,Main production Site,67%,33%,Yes,6154
"Manufacturing Co., Ltd",[blank],[blank],No 6 Yong An RoadBeijiaoShunde,[blank],Foshan,China,General Merchandise,Main production Site,74%,26%,Yes,4925
Motormax Industries (Heyuan) Ltd,[blank],[blank],"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
"Zhejiang Nanlong Industry and Trade Co.,Ltd Weng Bu Village No. 666 Jiangnan Street",[blank],[blank],[blank],[blank],Yongkang,China,General Merchandise,Main production Site,69%,31%,Yes,402
Ningbo Hefan Plush Product Co. Ltd.,[blank],[blank],1# DAZHONG ROAD,XIAOLIN TOWN,Cixi,China,General Merchandise,Main production Site,20%,80%,Yes,148
Ltd.,[blank],[blank],Xiaoluxia,Simen Industrial ParkYuyao Ningbo,[blank],China,General Merchandise,Main production Site,33%,67%,Yes,285
"Ningbo Zhongcheng Stationery Co., Ltd.",[blank],[blank],50 Jinji Road,XiaogangBeilun,Ningbo,China,General Merchandise,Main production Site,44%,56%,Yes,36
Festa Party Products Mfy. Ltd,[blank],[blank],"East from 16, Tang Mei Industrial Zone, Duanzhouba Zhaoqing",[blank],[blank],China,General Merchandise,Main production Site,28%,72%,Yes,50
Harvest Industrial Ltd,[blank],[blank],No. 9,Hanji Avenue,Guangzhou,China,General Merchandise,Main production Site,42%,58%,Yes,1636
ShengYun (DG) Electronics Toys Products No. 3 Songgang Henglu QingQing Xi Xi Town,[blank],[blank],[blank],[blank],Guangdong,China,General Merchandise,Main production Site,18%,82%,Yes,90
Ramesh Flowers Private Ltd,[blank],[blank],"1/10,1/10/1,2,3,4,5","1/10/6,1/10/7,1/10/9&1/10/10,Tuticorin",[blank],India,General Merchandise,Main production Site,17%,83%,Yes,819
"Dongguan Tung Fat Toy Fty. Co., Ltd.",[blank],[blank],"Room 101, Building 1, No.1436Changan Section",[blank],Dongguan,China,General Merchandise,Main production Site,41%,59%,Yes,360
"Huangyan Raysun Arts & Crafts Co.,Ltd",[blank],[blank],Qiaotouwang Industry AreaChengjiang,[blank],Huangyan,China,General Merchandise,Main production Site,31%,69%,Yes,62
SHENHAO CHRISTMAS TREE CRAFTS CO LTD.,[blank],[blank],TEAMHOLDINDUSTRIAL AREAShiyan Town,[blank],Shenzhen,China,General Merchandise,Main production Site,53%,47%,Yes,45
Shanxi Dahua Glass Industrial Co. Ltd,[blank],[blank],No. 2 Tiebei Street,Qi County,Qi,China,General Merchandise,Main production Site,49%,51%,Yes,490
"Shandong Intco Recycling Resources Co., Ltd",[blank],[blank],18 Qingtian Rd,[blank],Zibo,China,General Merchandise,Main production Site,43%,57%,Yes,1390
Dongguan Sin Ding Industrial Co. Ltd,[blank],[blank],N# 3 Wen Zhu RdWen TangDong Cheng,[blank],Dongguan,China,General Merchandise,Main production Site,39%,61%,Yes,417
(Hengyuan),[blank],[blank],Dongdu Road,Linhai County,Taizhou,China,General Merchandise,Main production Site,62%,38%,Yes,383
Yonglian Tableware Factory,[blank],[blank],"Jinniutan, Shiqiao village Siqian town",[blank],Guangdong,China,General Merchandise,Main production Site,46%,54%,Yes,166
"Shanxi Hongyi Glassware Co., Ltd.",[blank],[blank],XiLIUZHEN VILLAGE,XILIUZHI TOWNSHIP,QIXIAN COUNTY,China,General Merchandise,Main production Site,50%,50%,Yes,356
SHREE KRISHNA IMPEX,[blank],[blank],Lakri Fazalpur,Delhi Road,Moradabad,India,General Merchandise,Main production Site,100%,0%,Yes,218
Ltd,[blank],[blank],Qu Ji Lu 40,Qu Ji Cun Hu Men Zhen,Dongguan,China,General Merchandise,Main production Site,47%,53%,Yes,191
"Better Home Products (Zhejiang) Co.,Ltd No.378",[blank],[blank],[blank],Guangming Street,Deqing,China,General Merchandise,Main production Site,46%,54%,Yes,482
Loyal Way Housewares (Yangjiang)Ltd.,[blank],[blank],6th Huoda Road,Civil Science and Technology ParkYangjiang of Yangdong China GM Main production Site,[blank],China,General Merchandise,Main production Site,47%,53%,Yes,74
"Shandong Hualin Willow Crafts Co., Ltd. Dananhuangzhuang VillageShizilu Town",[blank],[blank],[blank],[blank],Linyi City,China,General Merchandise,Main production Site,63%,38%,Yes,40
"Shandong Jusheng Glass Co., Ltd",[blank],[blank],Nanzhuang Village,Yuanquan TownBoshan DistrictZibo,[blank],China,General Merchandise,Main production Site,54%,46%,Yes,287
"SHANDONG LEJIA HOMETEXTILES CO.,LTD.",[blank],[blank],WEST HUANGHAI ROADJUNANECONOMIC DEVELOPMENT ZONEJunan,[blank],[blank],China,General Merchandise,Main production Site,11%,89%,Yes,101
