sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
Seet Kamal International 2,[blank],[blank],"4C, Kamani Road,","Jhotwara Industrial Area, Jaipur",[blank],India,General Merchandise,Main production Site,43%,57%,Yes,320
CosMed Deutschland GmbH,[blank],[blank],CosMed GmbH & Co. KG,Im Niedernbrock 48,Loehne,Germany,General Merchandise,Main production Site,60%,40%,No,213
Zhejiang Fengyuan Industrial Co Ltd,25.55311529,118.0498416,No 66 Damaiwu Er Road Xinwo Town,[blank],Panan,China,General Merchandise,Main production Site,31%,69%,Yes,86
"Guangxi Beiliu Yujie Porcelain Co.,Ltd",25.03416046,119.2415423,Beiliu Minan Porcelain Industrial Garden,[blank],Yulin,China,General Merchandise,Main production Site,46%,54%,Yes,489
Ltd,25.26410051,119.0960551,"Fuzhong Industrial Area, Guxiang Town, Chaoan, ChaozhouChaozhou China",[blank],[blank],China,General Merchandise,Main production Site,44%,56%,Yes,225
Wuxi Tianxiu Textile co ltd,24.80206805,118.8999765,"Yandai,Dongbeitang town,Jiangsu Wuxi",China,WUXI,China,General Merchandise,Main production Site,14%,86%,Yes,159
Wrapid Manufacturing Limited,[blank],[blank],Units 1-4 Ashford Mills Thornton Road,[blank],Bradford,United Kingdom,General Merchandise,Main production Site,63%,37%,Yes,76
"NINGBO EAST TOOLS CO., LTD",24.75783135,119.2888478,"No.307,Buzheng East Road,Wangchun Industry Zone Ningbo",[blank],[blank],China,General Merchandise,Main production Site,41%,59%,Yes,92
Team Impression Limited,[blank],[blank],1 Lockwood Close,Leeds,Leeds,United Kingdom,General Merchandise,Main production Site,92%,8%,No,50
"Ningbo Premier Electric Co.,Ltd",25.61329464,118.6297438,Xinxin village,Langxia street,Ningbo,China,General Merchandise,Main production Site,43%,57%,Yes,21
Tai'an Ever Sincere Home Furnishing Co. Ltd. Xincheng Industry Park East of Ruifu Road,24.58627104,118.1504179,[blank],[blank],Feicheng City,China,General Merchandise,Main production Site,18%,82%,Yes,90
Pingxiang Yuandong export fireworks factory Quantang village Shangli townShangli country Pingxiang city Pingxiang China GM Main production Site,25.46900691,118.9727996,[blank],[blank],[blank],China,General Merchandise,Main production Site,20%,80%,Yes,35
"WuXi YaMei Embroidered Article Co., Ltd No.50,rongxing third road,zoneA,bashi furong industrial park WUXI China",24.3054419,117.9041469,[blank],[blank],[blank],China,General Merchandise,Main production Site,6%,94%,Yes,35
"Co., Ltd",24.49420388,119.3292382,"Qi Gan Lingnan Village Aotou Town,Conghua District Guangzhou City China",[blank],[blank],China,General Merchandise,Main production Site,7%,93%,Yes,58
Swan Mill Paper Company Limited - Wales Unit 48 Hirwaun IndustrialHirwaun Est,[blank],[blank],[blank],[blank],Hirwaun,United Kingdom,General Merchandise,Main production Site,56%,44%,Yes,48
LDA,[blank],[blank],Rua Ilidio Pires,MOITALINA,PORTO DE MOS,Portugal,General Merchandise,Main production Site,22%,78%,No,181
Jinan Fengsheng Art&Craft CO LTD,24.89299495,118.9985591,"No.57 Yangzhuangpu, YuhuangmiaShanghe, Jinan, Shandong,ChinaShandong China GM",[blank],[blank],China,General Merchandise,Main production Site,3%,97%,Yes,79
"Linhai Changshuo Lighting Co.,Ltd",25.17726575,118.8742898,"Shuangzhai Village,DongchengTown",TLinhai Taizhou Linhai,[blank],China,General Merchandise,Main production Site,40%,60%,Yes,92
"Yangzhou Ciyang Arts&Crafts Co., Ltd",25.62575246,118.301557,"No. 78, Shugang West RoadXihu Town, Yangzhou City Yangzhou",[blank],[blank],China,General Merchandise,Main production Site,6%,94%,Yes,102
BEIFA Group,24.94068607,118.5357503,"No. 68, Weiliu Road",Xiao Gang,Ningbo,China,General Merchandise,Main production Site,33%,67%,Yes,931
Guan Branch,25.32739379,118.1323007,"Room 102, Building 8","No.166, Yongjun Road",Dongguan,China,General Merchandise,Main production Site,40%,60%,Yes,72
ZHEJIANG HUANGYAN GUANQUAN GIFT CO,25.40307771,118.9779796,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
LTD,24.03270353,118.2492631,"Hongyu Village, Toutuo Town,Huangyan Region, Taizhou, Taizhou",[blank],[blank],China,General Merchandise,Main production Site,25%,75%,Yes,87
YUK HENG CLOTHING FACTORIES,[blank],[blank],"No. 2, Li Learn Street, Li Cross Village,",[blank],Dongguan,Hong Kong,General Merchandise,Main production Site,32%,68%,Yes,95
